TSC,CPU,DOM,vCPU,UOPS_RETIRED.ALL,UOPS_ISSUED.ANY,UOPS_ISSUED.ANY-stalls,RESOURCE_STALLS.ANY
23500849943844,0,0,0,24781,24295,73309,3667
23500881919440,0,32767,0,0,0,566193,0
23500882131282,0,0,0,28719,30084,101186,4093
23500926966880,0,32767,0,0,0,856104,0
23500927527330,0,0,0,128545,131138,409568,23886
23500931140398,0,32767,0,0,0,49369,0
23500931331318,0,0,0,24333,24079,73209,3081
23501005258408,0,32767,0,0,0,1264445,0
23501005489994,0,0,0,40202,41149,116132,3299
23501066784222,0,32767,0,0,0,1057822,0
23501066972086,0,0,0,22584,22682,81188,3527
23501152869256,0,32767,0,0,0,1437235,0
23501153354670,0,0,0,100867,111282,332917,18558
23501216516882,0,32767,0,0,0,1140422,0
23501216706334,0,0,0,12433,14014,78303,840
23501345188734,0,32767,0,0,0,2105250,0
23501345420718,0,0,0,40050,40633,116911,3550
23501437402888,0,32767,0,0,0,1511996,0
23501437588998,0,0,0,12601,14146,73704,790
23501493001312,0,32767,0,0,0,967609,0
23501493262702,0,0,0,52378,54047,141724,5675
23501685074256,0,32767,0,0,0,3197273,0
23501685306870,0,0,0,40675,41361,117806,2911
23501758835888,0,32767,0,0,0,1201806,0
23501759097170,0,0,0,42054,44555,145015,6001
23501777468670,0,32767,0,0,0,345405,0
23501777746970,0,0,0,53388,57139,156529,5869
23501947609150,0,32767,0,0,0,2796644,0
23501947899766,0,0,0,59058,63425,166382,7497
23501951566580,0,32767,0,0,0,122509,0
23501955409574,0,0,0,4133132,3743827,2501300,389974
23502024952842,0,32767,0,0,0,1371559,0
23502025407530,0,0,0,94602,109310,322003,30525
23502107689386,0,32767,0,0,0,1353269,0
23502107927342,0,0,0,32784,35687,126278,4382
23502247510994,0,32767,0,0,0,2346579,0
23502247746846,0,0,0,37060,41182,120159,5378
23502365092268,0,32767,0,0,0,1888620,0
23502365457782,0,0,0,48769,48708,246361,3441
23502543254860,0,32767,0,0,0,2885059,0
23502543764820,0,0,0,247857,247642,314160,14116
23502545857816,0,32767,0,0,0,115386,0
23502546041286,0,0,0,25570,25144,73580,3836
23502580004992,0,32767,0,0,0,571963,0
23502580214278,0,0,0,28369,29649,99894,3084
23502705164364,0,32767,0,0,0,2039824,0
23502705404570,0,0,0,39758,40561,115134,2284
23502816876482,0,32767,0,0,0,1892460,0
23502817074538,0,0,0,29287,29842,80190,2093
23502826196774,0,32767,0,0,0,212136,0
23502826371950,0,0,0,11577,13044,72734,640
23503045092208,0,32767,0,0,0,3568509,0
23503045311790,0,0,0,38225,38700,105059,2068
23503137200290,0,32767,0,0,0,1582097,0
23503137480686,0,0,0,53547,56961,156658,4833
23503307335602,0,32767,0,0,0,2821499,0
23503307586314,0,0,0,47294,49790,129770,5024
23503384967514,0,32767,0,0,0,1275351,0
23503385201458,0,0,0,39454,40243,117173,1890
23503441451806,0,32767,0,0,0,962874,0
23503441651534,0,0,0,35835,36792,88012,4592
23503455024854,0,32767,0,0,0,291745,0
23503455175750,0,0,0,9793,9626,49856,430
23503581435790,0,32767,0,0,0,2120780,0
23503581572722,0,0,0,11404,12797,71455,483
