TSC,CPU,DOM,vCPU,PKG,PP0,PP1,DRAM
23774019076874,2,5,0,2458048038,849371735,163064637,0
23774120849542,2,5,0,2458105341,849422125,163065207,0
23774222623370,2,5,0,2458162619,849472487,163065779,0
23774030808364,3,6,0,2458053775,849376789,163064693,0
23774132580804,3,6,0,2458111065,849427153,163065264,0
23774234353972,3,6,0,2458168292,849477469,163065836,0
23774298769140,0,0,0,2458204550,849509359,163066198,0
23774360246792,0,32767,0,2458239029,849539703,163066542,0
23774360882536,0,0,0,2458239029,849539703,163066542,0
23774363610872,0,32767,0,2458241130,849541568,163066561,0
23774363751336,0,0,0,2458241130,849541568,163066561,0
23774394323096,0,32767,0,2458258522,849556881,163066733,0
23774399422504,0,0,0,2458263120,849561009,163066771,0
23774404205924,0,32767,0,2458265206,849562858,163066790,0
23774404358104,0,0,0,2458265206,849562858,163066790,0
23774417772498,0,32767,0,2458272922,849569660,163066865,0
23774417922470,0,0,0,2458272922,849569660,163066865,0
23774638336244,0,32767,0,2458397455,849679208,163068105,0
23774324394182,2,5,0,2458219989,849522953,163066352,0
23774426168530,2,5,0,2458278848,849574888,163066923,0
23774527941550,2,5,0,2458334228,849623591,163067475,0
23774629714570,2,5,0,2458391775,849674218,163068048,0
23774336126148,3,6,0,2458225660,849527943,163066409,0
23774437900028,3,6,0,2458284523,849579872,163066980,0
23774539672872,3,6,0,2458341891,849630328,163067552,0
23774638584780,0,0,0,2458397455,849679208,163068105,0
23774695926060,0,32767,0,2458430043,849707889,163068429,0
23774696217096,0,0,0,2458430043,849707889,163068429,0
23774763658428,0,32767,0,2458468623,849741823,163068809,0
23774763964492,0,0,0,2458468623,849741823,163068809,0
23774824864364,0,32767,0,2458503576,849772562,163069152,0
23774825067832,0,0,0,2458503576,849772562,163069152,0
23774838431024,0,32767,0,2458511445,849779512,163069228,0
23774838547892,0,0,0,2458511445,849779512,163069228,0
23774978151392,0,32767,0,2458590323,849848954,163070008,0
23774731490126,2,5,0,2458449544,849725049,163068619,0
23774833263666,2,5,0,2458507451,849775988,163069189,0
23774935033646,2,5,0,2458565289,849826921,163069760,0
23774641445872,3,6,0,2458399415,849680944,163068124,0
23774743221956,3,6,0,2458457204,849731783,163068695,0
23774844993164,3,6,0,2458515387,849782992,163069266,0
23774946764768,3,6,0,2458573027,849833738,163069836,0
23774978564392,0,0,0,2458590323,849848954,163070008,0
23775136145068,0,32767,0,2458678878,849926937,163070884,0
23775136443028,0,0,0,2458678878,849926937,163070884,0
23775210417588,0,32767,0,2458721439,849964412,163071302,0
23775210692016,0,0,0,2458721439,849964412,163071302,0
23775217973628,0,32767,0,2458725462,849967957,163071340,0
23775218487428,0,0,0,2458727456,849969713,163071359,0
23775221992074,0,32767,0,2458729660,849971657,163071378,0
23775226975494,0,0,0,2458732047,849973788,163071397,0
23775267895464,0,32767,0,2458758542,849994538,163073939,0
23775268230728,0,0,0,2458758542,849994538,163073939,0
23775318128988,0,32767,0,2458787236,850019785,163074223,0
23775036806766,2,5,0,2458623136,849877858,163070331,0
23775138580814,2,5,0,2458680953,849928775,163070903,0
23775240360154,2,5,0,2458741422,849980995,163072409,0
23775048538280,3,6,0,2458630834,849884643,163070407,0
23775150311244,3,6,0,2458688935,849935821,163070979,0
23775252088196,3,6,0,2458748229,849986108,163073239,0
23775318462456,0,0,0,2458787236,850019785,163074223,0
23775489768136,0,32767,0,2458883039,850104073,163075177,0
23775489997540,0,0,0,2458883039,850104073,163075177,0
23775511952840,0,32767,0,2458896451,850115868,163075311,0
23775512138232,0,0,0,2458896451,850115868,163075311,0
23775598320624,0,32767,0,2458944458,850158124,163075788,0
23775598465812,0,0,0,2458944458,850158124,163075788,0
23775658028228,0,32767,0,2458978795,850188325,163076132,0
23775342127298,2,5,0,2458800687,850031625,163074357,0
23775443899498,2,5,0,2458858192,850082218,163074930,0
23775545672130,2,5,0,2458915713,850132831,163075501,0
23775647445334,2,5,0,2458973121,850183335,163076075,0
23775353857420,3,6,0,2458806354,850036606,163074414,0
23775455630680,3,6,0,2458863874,850087209,163074987,0
23775557403360,3,6,0,2458921430,850137854,163075559,0
23775658254920,0,0,0,2458978795,850188325,163076132,0
23775742972640,0,32767,0,2459026787,850230574,163076607,0
23775743136592,0,0,0,2459026787,850230574,163076607,0
23775997734872,0,32767,0,2459170609,850357148,163078039,0
23775749129810,2,5,0,2459030718,850234042,163076645,0
23775850902886,2,5,0,2459088144,850284562,163077219,0
23775952675870,2,5,0,2459145543,850335065,163077790,0
23775659175892,3,6,0,2458978795,850188325,163076132,0
23775760860628,3,6,0,2459036462,850239093,163076703,0
23775862634108,3,6,0,2459093792,850289524,163077276,0
23775964406652,3,6,0,2459151335,850340172,163077847,0
23775997964096,0,0,0,2459170609,850357148,163078039,0
23776059830424,0,32767,0,2459205209,850387608,163078381,0
23776060529256,0,0,0,2459205209,850387608,163078381,0
23776073169524,0,32767,0,2459213095,850394562,163078457,0
23776073316476,0,0,0,2459213095,850394562,163078457,0
23776097213836,0,32767,0,2459226613,850406465,163078591,0
23776097407120,0,0,0,2459226613,850406465,163078591,0
23776143033440,0,32767,0,2459251585,850428447,163078838,0
23776143221188,0,0,0,2459253600,850430226,163078858,0
23776145264900,0,32767,0,2459253600,850430226,163078858,0
23776145404932,0,0,0,2459253600,850430226,163078858,0
23776189576120,0,32767,0,2459278800,850452435,163079105,0
23776189769236,0,0,0,2459278800,850452435,163079105,0
23776195295248,0,32767,0,2459282644,850455826,163079142,0
23776195441880,0,0,0,2459282644,850455826,163079142,0
23776284676144,0,32767,0,2459332377,850499558,163079638,0
23776284827312,0,0,0,2459332377,850499558,163079638,0
23776295556748,0,32767,0,2459338078,850504572,163079695,0
23776295859388,0,0,0,2459338078,850504572,163079695,0
23776337534592,0,32767,0,2459363450,850526894,163079942,0
23776054448942,2,5,0,2459201403,850384254,163078344,0
23776156221794,2,5,0,2459259455,850435390,163078914,0
23776257995290,2,5,0,2459317084,850486120,163079485,0
23776066179972,3,6,0,2459209201,850391131,163078419,0
23776167952612,3,6,0,2459267033,850442052,163078990,0
23776269725736,3,6,0,2459324755,850492858,163079562,0
23776337819560,0,0,0,2459363450,850526894,163079942,0
23776354896320,0,32767,0,2459373064,850535362,163080037,0
23776355277036,0,0,0,2459373064,850535362,163080037,0
23776395269624,0,32767,0,2459396807,850556280,163080265,0
23776395474284,0,0,0,2459396807,850556280,163080265,0
23776534533988,0,32767,0,2459475453,850625482,163081046,0
23776534775816,0,0,0,2459475453,850625482,163081046,0
